Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Rex,R120FR60,30.77529003,0.001468012,0.002915415,0.684276038,0.311340535,174.9295594,0.000962904,0.002423086,0.66329251,0.3333215,402,41,21,1.2,58,12,20,30,17.8743,1.11652
Rex,B20G20R120FR20,34.5482524,0.154885087,0.128542588,0.614466819,0.102105506,178.3398648,0.113228355,0.111712087,0.654895368,0.12016419,402,41,21,1.2,58,12,20,30,19.4854,1.34026
Rex,Warm white,36.69547146,0.084390957,0.31422303,0.515423076,0.085962937,186.6514162,0.064268823,0.286824874,0.546100191,0.102806113,402,41,21,1.2,58,12,20,30,17.9368,1.26633
Rex,Equalized white,38.03286391,0.107400836,0.612435361,0.253255504,0.026908299,180.0982598,0.086097864,0.596073166,0.283116647,0.034712323,402,41,21,1.2,58,12,20,30,15.0536,0.94767
Rouxai,B60R120,36.81987067,0.422234647,0.003841846,0.569228062,0.004695445,175.3533616,0.333227531,0.00369972,0.657108538,0.005964211,402,41,21,1.2,58,12,20,30,15.7089,0.97541
Rouxai,B40G20R120,37.57396249,0.291235062,0.124583107,0.578723828,0.005458004,182.9521832,0.2251279,0.114712962,0.653367668,0.006791471,402,41,21,1.2,58,12,20,30,18.466,1.1292
Rouxai,B20G40R120,35.73266141,0.147094217,0.244802753,0.602252836,0.005850194,178.2016139,0.110892445,0.218200012,0.663783579,0.007123965,402,41,21,1.2,58,12,20,30,21.8258,1.25354
Rouxai,G60R120,36.07955203,0.023391742,0.37284022,0.597817789,0.005950249,182.9936768,0.018539298,0.326033579,0.648313508,0.007113616,402,41,21,1.2,58,12,20,30,28.0742,1.58923
Rouxai,B40R120FR20,35.55536868,0.305484712,0.005531921,0.590712727,0.09827064,178.0435259,0.226757694,0.005125558,0.648840487,0.11927626,402,41,21,1.2,58,12,20,30,16.5704,1.21415
Rouxai,B20R120FR40,33.59213171,0.161568165,0.005193679,0.629533746,0.203704409,179.0392219,0.113247617,0.004539502,0.649862469,0.232350411,402,41,21,1.2,58,12,20,30,20.4063,1.45415
Rouxai,R120FR60,30.77529003,0.001468012,0.002915415,0.684276038,0.311340535,174.9295594,0.000962904,0.002423086,0.66329251,0.3333215,402,41,21,1.2,58,12,20,30,30.0169,2.00608
Rouxai,B20G20R120FR20,34.5482524,0.154885087,0.128542588,0.614466819,0.102105506,178.3398648,0.113228355,0.111712087,0.654895368,0.12016419,402,41,21,1.2,58,12,20,30,20.6362,1.42112
Rouxai,Warm white,36.69547146,0.084390957,0.31422303,0.515423076,0.085962937,186.6514162,0.064268823,0.286824874,0.546100191,0.102806113,402,41,21,1.2,58,12,20,30,20.5765,1.38208
Rouxai,Equalized white,38.03286391,0.107400836,0.612435361,0.253255504,0.026908299,180.0982598,0.086097864,0.596073166,0.283116647,0.034712323,402,41,21,1.2,58,12,20,30,17.2473,1.11577
Rouxai,R180,33.10750405,0.00066045,0.003112528,0.987870568,0.008356454,182.4698412,0.000443281,0.0027206,0.987706013,0.009130106,410,50,22.4,0.6,34,10,20,33,72.40975,2.8720762
Rouxai,G60R120,36.86744313,0.022273902,0.373007274,0.597874084,0.00684474,187.314724,0.017602675,0.326329318,0.647873123,0.008194883,410,50,22.4,0.6,34,10,20,33,65.786224,2.6901
Rouxai,B20R160,34.69638717,0.151907187,0.004639183,0.834574184,0.008879446,181.7097075,0.108396972,0.004167379,0.877131356,0.010304292,410,50,22.4,0.6,34,10,20,33,47.267262,2.2127224
Rouxai,B20G60R100,38.04860616,0.168749932,0.351169,0.474939127,0.005141941,184.1518405,0.131638247,0.321905686,0.540012056,0.00644401,410,50,22.4,0.6,34,10,20,33,55.720938,2.399775
Rouxai,B60R120,38.54987047,0.411030343,0.005601412,0.57756089,0.005807355,183.6761456,0.320562694,0.005458581,0.666581752,0.007396973,410,50,22.4,0.6,34,10,20,33,43.245538,2.0098624
Rouxai,B60G60R60,40.56799248,0.409396337,0.328653168,0.259149626,0.002800869,179.6711774,0.346007447,0.329083581,0.321055187,0.003853786,410,50,22.4,0.6,34,10,20,33,30.54415,1.4968324
Rouxai,B100R80,42.0379029,0.632234745,0.003876458,0.360661619,0.003227178,184.7279861,0.540396623,0.00396435,0.451189131,0.004449896,410,50,22.4,0.6,34,10,20,33,30.332274,1.53762
Rouxai,B100G60R20,45.35969633,0.605165709,0.299829648,0.093531211,0.001473431,187.3168272,0.551310654,0.322387255,0.12411992,0.002182171,410,50,22.4,0.6,34,10,20,33,24.6617,1.2289788
Rouxai,EQW180,38.2913731,0.10740767,0.612311454,0.253144012,0.027136864,181.3752592,0.086094231,0.595980059,0.282916806,0.035008904,410,50,22.4,0.6,34,10,20,33,59.127124,2.1817838
Rouxai,EQW100B10R70,36.30789827,0.132983551,0.348186011,0.500715592,0.018114846,179.4358086,0.101756048,0.32470263,0.551217992,0.02232333,410,50,22.4,0.6,34,10,20,33,52.066812,2.0681724
Rouxai,EQW100B50R30,39.91689974,0.391378913,0.320261009,0.273358926,0.015001152,180.2909375,0.326443272,0.32663014,0.326664644,0.020261944,410,50,22.4,0.6,34,10,20,33,33.254438,1.57241
Rouxai,WW180,35.83664155,0.086756689,0.31235813,0.513864231,0.08702095,182.2752252,0.066064689,0.285299063,0.54449793,0.104138319,410,50,22.4,0.6,34,10,20,33,60.619762,2.4202962
